dimension,value,veto_bin,kept_tiles,tiles,fraction_of_kept,mean_veto_attention_mass,new_max_fraction,mean_v_max_norm,mean_v_variance
layer,14,17-32,43557,5080,0.11662878526987626,0.09411687403917313,0.6246062992125985,9.520232200622559,0.29389676451683044
layer,14,33-64,43557,6120,0.14050554445898478,0.1579124480485916,0.6973856209150326,9.535691261291504,0.2908770740032196
layer,14,65-128,43557,14375,0.3300273205225337,0.16274677217006683,0.8747130434782608,9.624164581298828,0.281925767660141
layer,15,1,44602,4259,0.09548899152504373,0.06516799330711365,0.4137121389997652,10.288020133972168,0.34731385111808777
layer,15,2-4,44602,5863,0.1314515044168423,0.07677938789129257,0.457274432884189,10.27221393585205,0.34519681334495544
layer,15,5-8,44602,4013,0.08997354378727411,0.08658187091350555,0.5723897333665587,10.3341646194458,0.34729108214378357
layer,15,9-16,44602,4647,0.10418815299762342,0.09429068863391876,0.644932214331827,10.356900215148926,0.3461410701274872
layer,15,17-32,44602,5185,0.11625039235908703,0.10493211448192596,0.714946962391514,10.348283767700195,0.3443470001220703
layer,15,33-64,44602,6295,0.14113716873682794,0.17354224622249603,0.7741064336775219,10.411924362182617,0.3415251672267914
layer,15,65-128,44602,14340,0.32151024617730145,0.17279063165187836,0.9152719665271967,10.529685020446777,0.323453426361084
layer,16,1,46827,4478,0.09562859034317808,0.05606347322463989,0.4242965609647164,12.708346366882324,0.5677717328071594
layer,16,2-4,46827,6610,0.14115787900143079,0.07562196999788284,0.5131618759455371,12.647988319396973,0.5611531734466553
layer,16,5-8,46827,4435,0.0947103166976317,0.09045635908842087,0.6126268320180384,12.559133529663086,0.555314838886261
layer,16,9-16,46827,5145,0.10987250944967647,0.10479042679071426,0.6612244897959184,12.75607681274414,0.560465395450592
layer,16,17-32,46827,5877,0.12550451662502402,0.12741045653820038,0.6765356474391696,12.699623107910156,0.5524306297302246
layer,16,33-64,46827,6943,0.14826916095415038,0.18487951159477234,0.7473714532622786,12.775614738464355,0.5501140356063843
layer,16,65-128,46827,13339,0.2848570269289085,0.19446676969528198,0.9161106529724867,12.71364974975586,0.5197013020515442
layer,17,1,45937,4445,0.09676295796416831,0.06398528814315796,0.4220472440944882,12.203604698181152,0.5216327905654907
layer,17,2-4,45937,6320,0.13757972875895247,0.08103268593549728,0.4911392405063291,12.143697738647461,0.5158900618553162
layer,17,5-8,45937,4596,0.10005006857217494,0.09863535314798355,0.5761531766753699,12.225656509399414,0.5227482318878174
layer,17,9-16,45937,5206,0.11332912467074471,0.10894203186035156,0.6457933154053016,12.18627643585205,0.5155396461486816
layer,17,17-32,45937,5452,0.1186842849990204,0.12323347479104996,0.6940572267057961,12.265871047973633,0.5186596512794495
layer,17,33-64,45937,6595,0.14356618847552083,0.18837817013263702,0.7398028809704321,12.248339653015137,0.5074824094772339
layer,17,65-128,45937,13323,0.2900276465594183,0.18464353680610657,0.909479846881333,12.375004768371582,0.49146583676338196
layer,18,1,43126,4466,0.1035570189676761,0.06810507923364639,0.4102104791759964,12.711469650268555,0.5749772191047668
layer,18,2-4,43126,6110,0.1416778741362519,0.08072362095117569,0.48379705400982,12.744243621826172,0.5715538859367371
